linkfield_id	fid_label	cFieldName	cComputedField	cFieldFilter	cVolgorde	bInList	iOrderAsc	iOrderDesc	cFieldType	iFieldLength	fid_LinkedLabel	bUseAsPanelVisibility	iListFieldWidth	cListColHeader	fid_ListLabel	cisd_listfieldid	fid_ListLinkedLabel
6264	774	dLastModified	NULL	NULL	016	NULL	NULL	NULL	datetime	8	NULL	NULL	NULL	NULL	NULL	NULL	NULL
6388	1077	cShipmentTypeShort	NULL	NULL	010	NULL	NULL	NULL	varchar	10	NULL	NULL	NULL	NULL	NULL	NULL	NULL
6389	1077	bImport	NULL	NULL	011	NULL	NULL	NULL	bit	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
6390	1077	bExport	NULL	NULL	012	NULL	NULL	NULL	bit	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
6785	19	bUseforImport	NULL	NULL	018	NULL	NULL	NULL	bit	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
6786	19	bUseforExport	NULL	1	019	NULL	NULL	NULL	bit	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
6789	1032	bUseforImport	NULL	NULL	018	NULL	NULL	NULL	bit	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
6790	1032	bUseforExport	NULL	1	019	NULL	NULL	NULL	bit	1	0	NULL	NULL	NULL	NULL	NULL	NULL
6815	19	fid_Country	NULL	NULL	020	NULL	NULL	NULL	int	4	NULL	NULL	NULL	NULL	NULL	NULL	NULL
6816	19	bWarehouse	NULL	NULL	021	NULL	NULL	NULL	bit	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
6817	19	bTerminal	NULL	NULL	022	NULL	NULL	NULL	bit	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
6818	19	bDepot	NULL	NULL	023	NULL	NULL	NULL	bit	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
6823	1032	fid_Country	NULL	NULL	020	NULL	NULL	NULL	int	4	NULL	NULL	NULL	NULL	NULL	NULL	NULL
6824	1032	bWarehouse	NULL	NULL	021	NULL	NULL	NULL	bit	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
6825	1032	bTerminal	NULL	NULL	022	NULL	NULL	NULL	bit	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
6826	1032	bDepot	NULL	NULL	023	NULL	NULL	NULL	bit	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
7062	1057	bUseforImport	NULL	NULL	004	NULL	NULL	NULL	bit	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
7063	1057	bUseforExport	NULL	NULL	005	NULL	NULL	NULL	bit	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
7233	1077	bShowOnPlanmapExport	NULL	NULL	013	NULL	NULL	NULL	bit	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
7241	887	cCustomerRemarks	NULL	NULL	028	NULL	NULL	NULL	varchar	400	NULL	NULL	NULL	NULL	NULL	NULL	NULL
7249	774	fid_DefaultContact	NULL	NULL	017	NULL	NULL	NULL	int	4	NULL	NULL	NULL	NULL	NULL	NULL	NULL
7250	772	fid_DefaultContact	NULL	NULL	017	NULL	NULL	NULL	int	4	NULL	NULL	NULL	NULL	NULL	NULL	NULL
